roman,deva
aad,आंड़
aand,आंड
aand,आँड
bahenchod,बहनचोद
behenchod,बहनचोद
bhenchod,बहनचोद
bhenchodd,बहनचोद
b.c.,बहनचोद
bc,बहनचोद
bakchod,बकचोद
bakchodd,बकचोद
bakchodi,बकचोदी
bevda,बेवड़ा
bewda,बेवड़ा
bevdey,बेवड़े
bewday,बेवड़े
bevakoof,बेवकूफ
bevkoof,बेवकूफ
bevkuf,बेवकूफ
bewakoof,बेवकूफ
bewkoof,बेवकूफ
bewkuf,बेवकूफ
bhadua,भड़ुआ
bhaduaa,भड़ुआ
bhadva,भड़वा
bhadvaa,भड़वा
bhadwa,भड़वा
bhadwaa,भड़वा
bhosada,भोसड़ा
bhosda,भोसड़ा
bhosdaa,भोसड़ा
bhosdike,भोसड़ीके
bhonsdike,भोसड़ीके
bsdk,भोसड़ीके
b.s.d.k,भोसड़ीके
bhosdiki,भोसड़ीकी
bhosdiwala,भोसड़ीवाला
bhosdiwale,भोसड़ीवाले
Bhosadchodal,भोसरचोदल
Bhosadchod,भोसदचोद
Bhosadchodal,भोसड़ाचोदल
Bhosadchod,भोसड़ाचोद
babbe,बब्बे
babbey,बब्बे
bube,बूबे
bubey,बूबे
bur,बुर
burr,बुर
buurr,बुर
buur,बुर
charsi,चरसी
chooche,चूचे
choochi,चूची
chuchi,चुची
chhod,चोद
chod,चोद
chodd,चोद
chudne,चुदने
chudney,चुदने
chudwa,चुदवा
chudwaa,चुदवा
chudwane,चुदवाने
chudwaane,चुदवाने
choot,चूत
chut,चूत
chute,चूत
chutia,चूतिया
chutiya,चूतिया
chutiye,चूतिये
chuttad,चुत्तड़
chutad,चूत्तड़
dalaal,दलाल
dalal,दलाल
dalle,दलले
dalley,दलले
fattu,फट्टू
gadha,गधा
gadhe,गधे
gadhalund,गधालंड
gaand,गांड
gand,गांड
gandu,गांडू
gandfat,गंडफट
gandfut,गंडफट
gandiya,गंडिया
gandiye,गंडिये
goo,गू
gu.गू
gote,गोटे
gotey,गोटे
gotte,गोटे
hag,हग
haggu,हग्गू
hagne,हगने
hagney,हगने
harami,हरामी
haramjada,हरामजादा
haraamjaada,हरामजादा
haramzyada,हरामज़ादा
haraamzyaada,हरामज़ादा
haraamjaade,हरामजादे
haraamzaade,हरामज़ादे
haraamkhor,हरामखोर
haramkhor,हरामखोर
jhat,झाट
jhaat,झाट
jhaatu,झाटू
jhatu,झाटू
kutta,कुत्ता
kutte,कुत्ते
kuttey,कुत्ते
kutia,कुतिया
kutiya,कुतिया
kuttiya,कुतिया
kutti,कुत्ती
landi,लेंडी
landy,लेंडी
laude,लोड़े
laudey,लौड़े
laura,लौड़ा
lora,लोड़ा
lauda,लौडा
ling,लिंग
loda,लोडा
lode,लोडे
lund,लंड
launda,लौंडा
lounde,लौंडे
laundey,लौंडे
laundi,लौंडी
loundi,लौंडी
laundiya,लौंडिया
loundiya,लौंडिया
lulli,लुल्ली
maar,मार
maro,मारो
marunga,मारूंगा
madarchod,मादरचोद
madarchodd,मादरचोद
madarchood,मादरचोद
madarchoot,मादरचूत
madarchut,मादरचुत
m.c.,मादरचोद
mc,मादरचोद
mamme,मम्मे
mammey,मम्मे
moot,मूत
mut,मुत
mootne,मूतने
mutne,मुतने
mooth,मूठ
muth,मुठ
nunni,नुननी
nunnu,नुननु
paaji,पाजी
paji,पाजी
pesaab,पेसाब
pesab,पेसाब
peshaab,पेशाब
peshab,पेशाब
pilla,पिल्ला
pillay,पिल्ले
pille,पिल्ले
pilley,पिल्ले
pisaab,पिसाब
pisab,पिसाब
porkistan,पोरकिस्तान
raand,रांड
rand,रांड
randi,रंडी
randy,रंडी
suar,सुअर
suar,सूअर
tatte,टट्टे
tatti,टट्टी
tatty,टट्टी
ullu,उल्लू
chuslim,चुस्लिम
jihadi,जिहादी
katwa,कटुआ
katua,कटुआ
k2o,कटुआ
k2wa,कटुआ
katwe,कटुए
katuve,कटुए
mujeet,मुजीत
mulla,मुल्ला
mullah,मुल्ला
katmulla,कठमुल्ला
kathmullah,कठमुल्ला
kathmulla,कठमुल्ला
mulle,मुल्ले
mulleh,मुल्ले
mullon,मुल्लों
mullonh,मुल्लों
namazi,नमाज़ी
namaziyon,नमाज़ियों
paki,पाकी
khalistani,खालिस्तानी
khalistaniyon,खालिस्तानियों
boinga,बोईंगा
bhoinga,बोईंगा
momo,मोमो
meetha,मीठा
gud,गुड़
hijra,हिजड़ा
hijda,हिजड़ा
chakka,छक्का
